,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
5379,Address: 39 Samoset Street,San FranciscoSales price: 1850000Sales date: 01/29/2015Bedrooms: 0Square feet: 1430Lot size: 1746,39 Samoset St,2,3,1771,01/29/2015,1850000,37.744422,-122.408484,Bernal Heights,7,SingleFamily,1949,2052936,1214400,94110,15160789
5380,Address: 171 Ripley Street,San FranciscoSales price: 3000000Sales date: 01/29/2015Bedrooms: 2Square feet: 2213Lot size: 2800,171 Ripley St,3,2,2213,01/29/2015,3000000,37.744493,-122.411244,Bernal Heights,6,SingleFamily,2002,3287367,1214400,94110,15160651
5381,Address: 1019 Russia Avenue,San FranciscoSales price: 685000Sales date: 01/29/2015Bedrooms: 0Square feet: 1125Lot size: 2500,1019 Russia Ave,1,2,1125,01/29/2015,685000,37.717777,-122.428666,Excelsior,5,SingleFamily,1927,728767,757400,94112,15171432
5382,Address: 138 Shakespeare Street,San FranciscoSales price: 742000Sales date: 01/29/2015Bedrooms: 4Square feet: 1660Lot size: 2500,138 Shakespeare St,2,4,1660,01/29/2015,742000,37.708725,-122.462966,Outer Mission,10,SingleFamily,1924,897996,804400,94112,15196203
5384,Address: 77 Buena Vista Terrace,San FranciscoSales price: 1255000Sales date: 01/29/2015Bedrooms: 3Square feet: 1583Lot size: 2808,77 Buena Vista Ter,2,3,1583,01/29/2015,1255000,37.767648,-122.437938,Buena Vista Park,6,Condominium,1962,1673991,1470700,94117,63197039
5386,Address: 705 Noriega Street,San FranciscoSales price: 2018000Sales date: 01/29/2015Bedrooms: 4Square feet: 1894Lot size: 3144,705 Noriega St,4.5,4,2266,01/29/2015,2018000,37.755163,-122.47159,Golden Gate Heights,7,SingleFamily,1962,1960022,1449000,94122,15111447
5387,Address: 8200 Oceanview Terrace #420,San FranciscoSales price: 558000Sales date: 01/29/2015Bedrooms: 2Square feet: 948Lot size: 325629,8200 Oceanview Ter APT 420,2,2,948,01/29/2015,558000,37.71048,-122.467645,Ingleside Heights,4,Condominium,2003,618979,688100,94132,67394668
5388,Address: 1515 15th Street #401,San FranciscoSales price: 221500Sales date: 01/28/2015Bedrooms: 0Square feet: 0Lot size: 0,1515 15th St APT 301,1,1,383,08/05/2014,450000,37.766736,-122.417984,Mission,2,Condominium,2014,589265,1167700,94103,125244450
5390,Address: 71 Peralta Avenue,San FranciscoSales price: 1115000Sales date: 01/28/2015Bedrooms: 3Square feet: 1507Lot size: 1788,71 Peralta Ave,2,2,1507,02/06/2015,1115000,37.747599,-122.406363,Bernal Heights,7,SingleFamily,1906,1547143,1214400,94110,15160380
5391,Address: 1600 Webster Street #205,San FranciscoSales price: 257000Sales date: 01/28/2015Bedrooms: 1Square feet: 837Lot size: 18978,1600 Webster St APT 205,1,1,837,01/28/2015,257000,37.78568,-122.430955,Lower Pacific Heights,4,Condominium,2005,830483,1146900,94115,64971368
